id,name,firstName,lastName,party,chamber,district,title,status,phone,email,website,committees,legisGaGovId
ocd-person/938f2479-c51f-446a-87f0-76d4f07c61e5,Akbar Ali,Akbar,Ali,Democratic,House of Representatives,106,Representative,active,404-656-0116,akbar.ali@house.ga.gov,https://www.legis.ga.gov/members/house/5089,Creative Arts and Entertainment; Economic Development and Tourism; Urban Affairs,
ocd-person/a5a0998b-3837-4c4e-a66b-a567dc2f9d77,Al Williams,Al,Williams,Democratic,House of Representatives,168,Representative,active,404-656-6372,al.williams@house.ga.gov,https://www.legis.ga.gov/members/house/230,"Appropriations; Defense and Veterans Affairs; Economic Development and Tourism; Game, Fish and Parks; Regulated Industries; Rules; Rural Development",230
ocd-person/bb48e87c-29db-4a4d-a278-fa299be2020e,Alan Powell,Alan,Powell,Republican,House of Representatives,33,Representative,active,404-463-3793,alan.powell@house.ga.gov,https://www.legis.ga.gov/members/house/187,Appropriations; Governmental Affairs; Motor Vehicles; Public Safety and Homeland Security; Regulated Industries; Rules; Transportation,187
ocd-person/b001a55f-61fa-4e62-85fd-ac6c282f2711,Angela Moore,Angela,Moore,Democratic,House of Representatives,91,Representative,active,404-656-0126,angela.moore@house.ga.gov,https://www.legis.ga.gov/members/house/5008,"Creative Arts and Entertainment; Energy, Utilities and Telecommunications; Higher Education",5008
ocd-person/1d0deded-daaa-425b-b6aa-3612492dca5b,Angie O'Steen,Angie,O'Steen,Republican,House of Representatives,169,Representative,active,404-656-0254,angie.osteen@house.ga.gov,https://www.legis.ga.gov/members/house/5084,Agriculture and Consumer Affairs; Public and Community Health; Rural Development,
ocd-person/e16d6516-badc-4682-9e3a-84f30a44b060,Anne Westbrook,Anne,Westbrook,Democratic,House of Representatives,163,Representative,active,404-656-0116,anneallen.westbrook@house.ga.gov,https://www.legis.ga.gov/members/house/5054,Economic Development and Tourism; Judiciary; State Planning and Community Affairs,5054
ocd-person/3b3da57c-2f96-4a94-a7bc-eb6a814cc627,Arlene Beckles,Arlene,Beckles,Democratic,House of Representatives,96,Representative,active,404-656-0109,arlene.beckles@house.ga.gov,https://www.legis.ga.gov/members/house/5076,Special Rules; State Properties; Technology and Infrastructure Innovation,
ocd-person/fd2717f1-6294-4601-a027-8fc41195372c,Ben Watson,Ben,Watson,Republican,Senate,1,Senator,active,404-656-7880,ben.watson@senate.ga.gov,https://www.legis.ga.gov/members/senate/784,Administrative Affairs; Appropriations; Assignments; Economic Development and Tourism; Health and Human Services; Judiciary; Rules,784
ocd-person/e4e40f68-0970-4392-b739-3c68f749bcdc,Beth Camp,Beth,Camp,Republican,House of Representatives,135,Representative,active,404-656-7153,beth.camp@house.ga.gov,https://www.legis.ga.gov/members/house/5004,"Agriculture and Consumer Affairs; Energy, Utilities and Telecommunications; Judiciary Juvenile; State Planning and Community Affairs; Ways and Means",5004
ocd-person/8b4b00cb-6f78-4b69-b788-796b19d94752,Bethany Ballard,Bethany,Ballard,Republican,House of Representatives,147,Representative,active,404-656-0325,bethany.ballard@house.ga.gov,https://www.legis.ga.gov/members/house/5051,Appropriations; Defense and Veterans Affairs; Education; Special Rules,5051
ocd-person/c2c81ffc-f4b1-40f4-96b0-6309f89902ee,Betsy Holland,Betsy,Holland,Democratic,House of Representatives,54,Representative,active,404-656-0116,betsy.holland@house.ga.gov,https://www.legis.ga.gov/members/house/4943,Creative Arts and Entertainment; Higher Education; Intragovernmental Coordination; Small Business Development,4943
ocd-person/4dc87191-fa52-4c2f-bc9c-8823a8b4c882,Bill Cowsert,Bill,Cowsert,Republican,Senate,46,Senator,active,404-463-1366,bill.cowsert@senate.ga.gov,https://www.legis.ga.gov/members/senate/9,Finance; Health and Human Services; Insurance and Labor; Investigations Special; Judiciary; Reapportionment and Redistricting; Regulated Industries and Utilities; Rules,9
ocd-person/f2444048-8c14-45b2-b700-37f7899fa5bb,Bill Fincher,Bill,Fincher,Republican,House of Representatives,23,Representative,active,404-656-0254,bill.fincher@house.ga.gov,https://www.legis.ga.gov/members/house/5092,Judiciary Juvenile; Judiciary: Non-Civil; Transportation,
ocd-person/4a9ef816-9130-4510-a19e-3124e3f2aeed,Bill Hitchens,Bill,Hitchens,Republican,House of Representatives,161,Representative,active,404-656-5126,bill.hitchens@house.ga.gov,https://www.legis.ga.gov/members/house/823,Appropriations; Defense and Veterans Affairs; Economic Development and Tourism; Governmental Affairs; Public Safety and Homeland Security; Rules; Transportation,823
ocd-person/adefd0ba-43cd-4aae-9321-12f67e57ac8a,Bill Werkheiser,Bill,Werkheiser,Republican,House of Representatives,157,Representative,active,404-656-5132,bill.werkheiser@house.ga.gov,https://www.legis.ga.gov/members/house/863,"Appropriations; Energy, Utilities and Telecommunications; Industry and Labor; Judiciary Juvenile; Public Safety and Homeland Security; Resource Management Special; State Properties",863
ocd-person/23dfc274-73d1-45df-b381-67e597cf0b84,Bill Yearta,Bill,Yearta,Republican,House of Representatives,152,Representative,active,404-656-0254,bill.yearta@house.ga.gov,https://www.legis.ga.gov/members/house/4969,"Agriculture and Consumer Affairs; Appropriations; Banks and Banking; Economic Development and Tourism; Energy, Utilities and Telecommunications; Small Business Development",4969
ocd-person/449db918-10b7-4fa7-a047-eb9de416dce3,Billy Hickman,Billy,Hickman,Republican,Senate,4,Senator,active,404-463-1371,billy.hickman@senate.ga.gov,https://www.legis.ga.gov/members/senate/4972,"Appropriations; Education and Youth; Finance; Higher Education; Veterans, Military and Homeland Security",4972
ocd-person/96307d79-07d4-4f59-9dd3-b7f994d566d5,Billy Mitchell,Billy,Mitchell,Democratic,House of Representatives,88,Representative,active,404-656-0287,billy.mitchell@house.ga.gov,https://www.legis.ga.gov/members/house/172,Appropriations; Banks and Banking; Health; Regulated Industries; Urban Affairs,172
ocd-person/e9c5a2fc-3354-49e1-ac29-783502155fe7,Blake Tillery,Blake,Tillery,Republican,Senate,19,Senator,active,404-656-5038,blake.tillery@senate.ga.gov,https://www.legis.ga.gov/members/senate/4908,Appropriations; Finance; Government Oversight; Investigating Licensing Issues Special; Investigations Special; Judiciary; Reapportionment and Redistricting; Special Committee on Eliminating Georgia's Income Tax; State Institutions and Property,4908
ocd-person/60bb96c4-f20c-4918-b88b-d7857341e5f4,Bo Hatchett,Bo,Hatchett,Republican,Senate,50,Senator,active,404-656-7454,bo.hatchett@senate.ga.gov,https://www.legis.ga.gov/members/senate/4984,Agriculture and Consumer Affairs; Appropriations; Children and Families; Education and Youth; Ethics; Health and Human Services; Investigations Special; Judiciary; Reapportionment and Redistricting,4984
ocd-person/933a841a-19d6-42c2-a046-991ff9903a23,Brad Thomas,Brad,Thomas,Republican,House of Representatives,21,Representative,active,404-656-0152,brad.thomas@house.ga.gov,https://www.legis.ga.gov/members/house/4991,"Defense and Veterans Affairs; Energy, Utilities and Telecommunications; Governmental Affairs; Intragovernmental Coordination; Resource Management Special; Retirement; Technology and Infrastructure Innovation; Transportation",4991
ocd-person/c0b205e2-1542-4802-896d-fa7b2b6fc4d9,Brent Cox,Brent,Cox,Republican,House of Representatives,28,Representative,active,404-656-0152,brent.cox@house.ga.gov,https://www.legis.ga.gov/members/house/5021,Agriculture and Consumer Affairs; Education; Technology and Infrastructure Innovation; Transportation,5021
ocd-person/a53e6bbd-a5b8-436b-94ae-bebf957c5b61,Brian Prince,Brian,Prince,Democratic,House of Representatives,132,Representative,active,404-656-0298,brian.prince@house.ga.gov,https://www.legis.ga.gov/members/house/847,Appropriations; Defense and Veterans Affairs; Investigating Licensing Issues Special; Motor Vehicles; Reapportionment and Redistricting; Technology and Infrastructure Innovation; Transportation; Urban Affairs; Ways and Means,847
ocd-person/3a5721a0-d848-40d0-a48a-66b797e7d7d9,Brian Strickland,Brian,Strickland,Republican,Senate,42,Senator,active,404-656-0508,brian.strickland@senate.ga.gov,https://www.legis.ga.gov/members/senate/835,Appropriations; Banking and Financial Institutions; Children and Families; Ethics; Health and Human Services; Judiciary; Public Safety,835
